category,subcategory,product_brand,product_name,ratings,reviews,price,Date
Sunglasses & frames,Smart sunglasses,CREEK,UV Protected Driving Vintage Pilot Gradient Metal Body Square Sunglasses for Men and Women | CP-11525,3.3,13,549,24-02-2023
Sunglasses & frames,Sunglasses,Fastrack,UV Protected Pilot Men Sunglasses,3.9,"6,366",629,07-11-2023
Sunglasses & frames,VTO,Fastrack,UV Protected Pilot Men Sunglasses,3.9,"6,366",629,25-01-2023
Sunglasses & frames,Customers'-most loved,Carrera,UV Protected Rectangular Unisex Sunglasses 5041/S 807 569O|56|Black Color,4.4,616,"5,700",26-06-2023
Sunglasses & frames,Sunglasses,Ray-Ban,UV Protected Sunglasses for Men 0RB3334,4.1,131,"5,239",28-09-2023
Sunglasses & frames,Smart sunglasses,ELEGANTE,"UV Protected Vintage Square Sunglasses for Men, Polygon Metal Frame Inspired from Pathan Sunglasses",3.3,90,499,09-09-2023
Sunglasses & frames,Sunglasses,SUNGAIT,UV protection Ultra Lightweight Rectangular Polarized Sunglasses,4.5,"39,812","1,614",09-04-2023
Sunglasses & frames,Smart sunglasses,SUNGAIT,UV protection Ultra Lightweight Rectangular Polarized Sunglasses,4.5,"39,812","1,595",31-07-2023
Sunglasses & frames,Customers'-most loved,SUNGAIT,UV protection Ultra Lightweight Rectangular Polarized Sunglasses,4.5,"39,812","1,614",09-09-2023
Luggage & bags,Backpacks,American Tourister,Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,4.3,"3,906","1,449",14-09-2023
Luggage & bags,Backpacks,Half Moon,Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,3.9,324,640,31-12-2023
Cameras & Photography,Lenses & Filters,,"Vantrue 40mm Ultra-Slim CPL Circular Polarizer Filter for Vantrue E1, E2, E3, E1 Lite, N4 Pro N5 Dash Cam, Reduce Glare and Reflection, Enhance Contrast",4.6,298,,04-01-2023
Beauty,Top Rated Beauty,,"Vaseline Deep Moisture Serum In Lotion, 400 ml | Enriched with Glycerin for Nourished Soft Skin",4.4,"44,813",289,16-11-2023
Beauty,Women's Grooming Devices,,"Vega 3 in 1 Hair Styler, (India's No.1* Hair Styler Appliance), Hair Straightener, Curler & Crimper, VHSCC-01, Black",3.9,"45,350","1,399",17-10-2023
Luggage & bags,Monsoon,INOVERA (LABEL),Vegan Leather Girl's Travel Casual Collage Backpack With Shoulder Strap,4.1,650,909,27-12-2023
Handbags,,INOVERA (LABEL),Vegan Leather Girl's Travel Casual Collage Backpack With Shoulder Strap,4.1,650,975,02-12-2023
Handbags,,KLEIO,"Vegan Leather Quilted Elegant Sling Bag For Women with Adjustable Straps & Zip | Casual Crossbody Bag for Girls for Everyday Use, Parties, Functions, College & Office",4.4,826,"1,138",01-11-2023
